date,keyword,search_volume,region,category,device,language,search_type,trend_score,click_through_rate,bounce_rate,avg_session_time,is_seasonal
2023/03/17,spoken english,12000,India,Education,Mobile,English,Web,85,0.57,0.27,220,Yes
2023-03-18,online coaching,13400,India,Education,Mobile,English,Web,87,0.60,0.25,260,Yes
2023-03-19,tuition near me,8900,India,Education,Mobile,English,Web,78,0.49,0.33,210,No
2023/03/20,career guidance,N/A,India,Career,Desktop,English,Web,80,0.52,0.31,270,No
2023-03-21,aptitude test,7600,India,Education,Desktop,English,Web,73,0.45,0.35,260,No
2023/03/22,logical reasoning,7200,India,Education,Desktop,English,Web,72,0.44,0.36,250,No
2023-03-23,quantitative aptitude,8100,India,Education,Desktop,English,Web,75,0.47,0.34,260,No
2023-03-24,placement training,9200,India,Career,Desktop,English,Web,79,0.50,0.32,280,No
2023/03/25,soft skills training,6900,India,Career,Desktop,English,Web,71,0.43,0.37,270,No
2023-03-26,resume builder,9800,india,Career,Desktop,English,Web,80,0.52,0.31,260,No
2023-03-27,linkedin profile tips,8400,USA,Career,Desktop,English,Web,77,0.48,0.34,250,No
2023-03-28,interview questions,15800,India,Career,Mobile,English,Web,88,0.61,0.24,240,Yes
2023-03-29,hr interview,10500,India,Career,Mobile,English,Web,82,0.54,0.30,230,No
2023-03-30,technical interview,11200,India,Career,Desktop,English,Web,83,0.55,0.29,260,No
2023-03-31,job portals,13000,India,Career,Desktop,English,Web,85,0.57,0.27,280,No
2023-04-01,startup ideas,11500,India,Business,Desktop,English,Web,84,0.56,0.28,290,No
2023-04-02,small business loans,9800,India,Business,Desktop,English,Web,80,0.52,0.31,270,No
2023-04-03,msme registration,13400,India,Business,Desktop,English,Web,87,0.60,0.25,260,Yes
2023/01/18,entrepreneurship course,7600,USA,Business,Desktop,English,Web,73,0.45,0.35,280,No
2023-04-05,franchise business,8900,India,Business,Desktop,English,Web,78,0.49,0.33,300,No
2023-04-06,online business ideas,14500,India,Business,Desktop,English,Web,88,0.61,0.24,310,Yes
2023-04-07,dropshipping,N/A,India,Ecomerce,Desktop,English,Web,82,0.54,0.30,290,No
2023-04-08,amazon seller account,16800,India,Ecomerce,Desktop,English,Web,90,0.63,0.22,320,Yes
2023-04-09,flipkart seller,15200,India,Ecomerce,Desktop,English,Web,88,0.61,0.24,310,Yes
2023/04/10,meesho supplier,13800,india,Ecomerce,Desktop,English,Web,86,0.59,0.26,300,No
2023-04-11,online store setup,9100,India,Ecomerce,Desktop,English,Web,79,0.50,0.32,280,No
2023-04-12,payment gateway,10400,India,Finance,Desktop,English,Web,81,0.53,0.30,260,No
2023/04/13,gst registration,18500,India,Finance,Desktop,English,Web,92,0.65,0.20,240,Yes
2023-04-14,tax filing,17200,India,Finance,Desktop,English,Web,89,0.62,0.23,250,Yes
2023-04-15,accounting software,9600,USA,Finance,Desktop,English,Web,79,0.50,0.32,270,No
2023/04/16,tally course,11800,India,Finance,Desktop,English,Web,83,0.55,0.29,260,No
2023-04-17,invoice generator,7400,India,Finance,Desktop,English,Web,72,0.44,0.36,250,No
2023-04-18,budget planning,6800,India,Finance,Desktop,English,Web,70,0.42,0.38,240,No
2023-04-19,personal finance tips,8900,India,Finance,Mobile,English,Web,78,0.49,0.33,220,No
2023-04-20,investment options,12000,India,Finance,Desktop,English,Web,85,0.57,0.27,280,No
2023-04-21,stock market today,21000,India,Finance,Mobile,English,Web,94,0.66,0.19,230,Yes
2023/04/22,share market news,19800,India,Finance,Mobile,English,Web,92,0.65,0.20,240,Yes
2023-04-23,mutual fund returns,13400,India,Finance,Desktop,English,Web,87,0.60,0.25,260,No
2023-04-24,sip calculator,15800,India,Finance,Mobile,English,Web,89,0.62,0.23,220,Yes
2023-04-25,retirement planning,7600,USA,Finance,Desktop,English,Web,74,0.46,0.35,300,No
2023-04-26,insurance premium,N/A,India,Finance,Desktop,English,Web,80,0.52,0.31,270,No
2023/04/27,health insurance,14500,India,Insurance,Desktop,English,Web,88,0.61,0.24,290,No
2023-04-28,life insurance plans,13200,India,Insurance,Desktop,English,Web,86,0.59,0.26,300,No
2023-04-29,term insurance,11800,India,Insurance,Desktop,English,Web,83,0.55,0.29,280,No
2023-04-30,car insurance,16000,India,Insurance,Mobile,English,Web,90,0.63,0.22,240,Yes
2023-05-01,health insurance renewal,9800,India,Insurance,Desktop,English,Web,80,0.52,0.31,260,No
2023-05-02,medical claims process,7200,India,Insurance,Desktop,English,Web,72,0.44,0.36,250,No
2023-05-03,policy comparison,8600,India,Insurance,Desktop,English,Web,77,0.48,0.34,270,No
2023-05-04,online doctor consultation,17500,India,Health,Mobile,English,Web,91,0.64,0.21,230,Yes
2023-05-05,telemedicine,14200,India,Health,Desktop,English,Web,87,0.60,0.25,260,No
2023-05-06,mental health support,12500,India,Health,Mobile,English,Web,85,0.57,0.27,240,No
2023-05-07,fitness apps,9800,India,Health,Mobile,English,Web,80,0.52,0.31,220,No
2023-05-08,diet plans,8900,India,Health,Mobile,English,Web,78,0.49,0.33,210,No
2023-05-09,home workouts,13400,India,Health,Mobile,English,Web,86,0.59,0.26,230,No
2023-05-10,weight gain tips,7600,India,Health,Mobile,English,Web,74,0.46,0.35,220,No
2023-05-11,yoga classes near me,9200,India,Health,Mobile,English,Web,79,0.50,0.32,210,No
2023-05-12,healthy recipes,10500,India,Health,Mobile,English,Web,81,0.53,0.30,200,No
2023-05-13,child nutrition,6800,India,Health,Desktop,English,Web,70,0.42,0.38,230,No
2023-05-14,summer health tips,11800,India,Health,Mobile,English,Web,84,0.56,0.28,220,Yes
2023-06-01,monsoon diseases,14500,India,Health,Mobile,English,Web,88,0.61,0.24,210,Yes
