date,keyword,search_volume,region,category,device,language,search_type,trend_score,click_through_rate,bounce_rate,avg_session_time,is_seasonal
26-01-2023,Insurance Plans,6100.0,India,Finance,Desktop,English,Web,70,0.41,0.37,260,No
26-02-2023,Nlp Course,7200.0,India,Technology,Desktop,English,Web,72,0.44,0.36,280,No
26-03-2023,Resume Builder,9800.0,India,Career,Desktop,English,Web,80,0.52,0.31,260,No
26-04-2023,Insurance Premium,11500.0,India,Finance,Desktop,English,Web,80,0.52,0.31,270,No
27-01-2023,Amazon Sale,22000.0,India,Ecomerce,Mobile,English,Web,93,0.66,0.19,320,Yes
27-02-2023,Computer Vision,6800.0,Uk,Technology,Desktop,English,Web,70,0.42,0.38,270,No
27-03-2023,Linkedin Profile Tips,8400.0,Usa,Career,Desktop,English,Web,77,0.48,0.34,250,No
27-04-2023,Health Insurance,14500.0,India,Insurance,Desktop,English,Web,88,0.61,0.24,290,No
28-01-2023,Flipkart Offers,20500.0,India,Ecomerce,Mobile,English,Web,91,0.64,0.21,310,Yes
28-02-2023,Data Analyst Jobs,13400.0,India,Career,Desktop,English,Web,85,0.57,0.27,290,No
28-03-2023,Interview Questions,15800.0,India,Career,Mobile,English,Web,88,0.61,0.24,240,Yes
28-04-2023,Life Insurance Plans,13200.0,India,Insurance,Desktop,English,Web,86,0.59,0.26,300,No
29-01-2023,Laptop Deals,14500.0,Usa,Ecomerce,Desktop,English,Web,85,0.58,0.26,300,No
29-03-2023,Hr Interview,10500.0,India,Career,Mobile,English,Web,82,0.54,0.3,230,No
29-04-2023,Term Insurance,11800.0,India,Insurance,Desktop,English,Web,83,0.55,0.29,280,No
30-01-2023,Mobile Phones,17200.0,India,Technology,Mobile,English,Web,88,0.61,0.24,280,No
30-03-2023,Technical Interview,11200.0,India,Career,Desktop,English,Web,83,0.55,0.29,260,No
30-04-2023,Car Insurance,16000.0,India,Insurance,Mobile,English,Web,90,0.63,0.22,240,Yes
31-01-2023,Ai Tools,19000.0,Usa,Technology,Desktop,English,Web,90,0.63,0.22,290,No
31-03-2023,Job Portals,13000.0,India,Career,Desktop,English,Web,85,0.57,0.27,280,No
